GeneID:388611	CD164 molecule like 2
GeneID:645382	PRAME family member 33
GeneID:391189	olfactory receptor family 11 subfamily L member 1
GeneID:391190	olfactory receptor family 2 subfamily L member 8 (gene/pseudogene)
GeneID:391196	olfactory receptor family 2 subfamily M member 7
GeneID:23334	SZT2 subunit of KICSTOR complex
GeneID:339500	zinc finger protein 678
GeneID:81469	olfactory receptor family 2 subfamily G member 3
GeneID:81470	olfactory receptor family 2 subfamily G member 2
GeneID:127550	alpha 1,3-galactosyltransferase 2
GeneID:441925	beclin 2
GeneID:127059	olfactory receptor family 2 subfamily M member 5
GeneID:127066	olfactory receptor family 14 subfamily C member 36
GeneID:127068	olfactory receptor family 2 subfamily T member 34
GeneID:400736	PRAME family member 13
GeneID:65122	PRAME family member 2
GeneID:128360	olfactory receptor family 10 subfamily T member 2
GeneID:27245	AT-hook DNA binding motif containing 1
GeneID:128367	olfactory receptor family 10 subfamily X member 1 (gene/pseudogene)
GeneID:353142	late cornified envelope 3A
GeneID:353143	late cornified envelope 3B
GeneID:50809	heterochromatin protein 1 binding protein 3
GeneID:343173	olfactory receptor family 2 subfamily T member 3
GeneID:105378952	Kruppel like factor 18
GeneID:127385	olfactory receptor family 10 subfamily J member 5
GeneID:126638	repetin
GeneID:127665	zinc finger protein 648
GeneID:85440	dedicator of cytokinesis 7
GeneID:391123	V-set and immunoglobulin domain containing 8
GeneID:200150	phospholipase D family member 5
GeneID:6401	selectin E
GeneID:6913	T-box transcription factor 15
GeneID:2312	filaggrin
GeneID:10763	nestin
GeneID:401934	ring finger protein 223
GeneID:11022	tudor and KH domain containing
GeneID:271	adenosine monophosphate deaminase 2
GeneID:54546	ring finger protein 186
GeneID:353299	regulator of G protein signaling like 1
GeneID:91156	immunoglobulin like and fibronectin type III domain containing 1
GeneID:257044	catsper channel auxiliary subunit epsilon
GeneID:2326	flavin containing dimethylaniline monoxygenase 1
GeneID:2582	UDP-galactose-4-epimerase
GeneID:388630	TraB domain containing 2B
GeneID:127255	leucine rich repeats and IQ motif containing 3
GeneID:126755	leucine rich repeat containing 38
GeneID:27173	solute carrier family 39 member 1
GeneID:388649	chromosome 1 open reading frame 146
GeneID:57643	zinc finger SWIM-type containing 5
GeneID:1580	cytochrome P450 family 4 subfamily B member 1
GeneID:4653	myocilin
GeneID:6707	small proline rich protein 3
GeneID:728116	zinc finger and BTB domain containing 8B
GeneID:55092	transmembrane protein 51
GeneID:5174	PDZ domain containing 1
GeneID:8761	poly(A) binding protein cytoplasmic 4
GeneID:164153	ubiquitin like 4B
GeneID:6202	ribosomal protein S8
GeneID:8510	matrix metallopeptidase 23B
GeneID:1855	dishevelled segment polarity protein 1
GeneID:64064	3-oxoacid CoA-transferase 2
GeneID:448835	late cornified envelope 6A
GeneID:23623	RUN and SH3 domain containing 1
GeneID:401993	olfactory receptor family 2 subfamily T member 5
GeneID:260425	membrane associated guanylate kinase, WW and PDZ domain containing 3
GeneID:163404	phospholipid phosphatase related 5
GeneID:336	apolipoprotein A2
GeneID:257106	Rho GTPase activating protein 30
GeneID:728661	solute carrier family 35 member E2B
GeneID:339541	armadillo like helical domain containing 1
